"auc","precision","recall","f1measure","gmean","recall20","fp","fn","waste_effort","all_effort"
0.830661929788754,0.283732660781841,0.685975609756098,0.4014272970562,0.75467070121682,0.871951219512195,568,103,103819,133009
0.848750127538006,0.279289940828402,0.655555555555556,0.391701244813278,0.730310714295186,0.863888888888889,609,124,90152,133046
0.847439164224742,0.256438969764838,0.696048632218845,0.374795417348609,0.746774729722013,0.696048632218845,664,100,138461,179395
0.847986195902863,0.278688524590164,0.661111111111111,0.392092257001647,0.732666104124487,0.797222222222222,616,122,106437,147286
0.842954119942843,0.287878787878788,0.641558441558442,0.397425583266291,0.722554528686268,0.641558441558442,611,138,126270,158662
0.850808067764662,0.273957158962796,0.676880222841226,0.390048154093098,0.738688579721657,0.676880222841226,644,116,114566,155083
0.843797418588505,0.260722347629797,0.643454038997215,0.371084337349398,0.718949758363069,0.643454038997215,655,128,127633,156802
0.849657761335184,0.266666666666667,0.674556213017751,0.382229673093043,0.738279277050896,0.674556213017751,627,110,119711,162578
0.843174726780104,0.276646706586826,0.683431952662722,0.39386189258312,0.747552028654744,0.683431952662722,604,107,125445,152255
0.839750551142071,0.26927374301676,0.654891304347826,0.381631037212985,0.725526553740362,0.855978260869565,654,127,102967,134790
0.862451148021495,0.304568527918782,0.652173913043478,0.41522491349481,0.73732170816916,0.8125,548,128,117400,146741
0.855459785692344,0.288557213930348,0.660968660968661,0.401731601731602,0.739446674203547,0.817663817663818,572,119,109368,134309
0.839361169308474,0.265030674846626,0.631578947368421,0.373379429559205,0.719368440338724,0.842105263157895,599,126,124919,150219
0.860365690949381,0.294749403341289,0.674863387978142,0.410299003322259,0.744238883614521,0.833333333333333,591,119,109984,138867
0.853442930801421,0.291666666666667,0.679245283018868,0.408097165991903,0.744587815363892,0.792452830188679,612,119,100486,135685
0.852494831173839,0.270152505446623,0.690807799442897,0.388410336726703,0.74345724480469,0.690807799442897,670,111,122159,163789
0.861120611921271,0.273878020713464,0.683908045977011,0.391125718981101,0.74444462749938,0.864942528735632,631,110,102840,139392
0.851479709374446,0.265969802555168,0.669590643274854,0.380714879467997,0.735767551455582,0.669590643274854,632,113,150264,179835
0.850631801732791,0.28169014084507,0.706521739130435,0.40278853601859,0.751152547426985,0.706521739130435,663,108,133897,161574
0.825613776519412,0.253653444676409,0.704347826086957,0.372985418265541,0.744713361585686,0.701449275362319,715,102,122907,165190
0.831384192163178,0.263100436681223,0.669444444444444,0.377742946708464,0.730074486637252,0.747222222222222,675,119,113987,149991
0.857848150779809,0.293262879788639,0.654867256637168,0.405109489051095,0.74048086350834,0.899705014749263,535,117,78802,107108
0.851587099835613,0.27705112960761,0.654494382022472,0.389306599832916,0.731063873247524,0.775280898876405,608,123,113502,149836
0.848200695603579,0.261538461538462,0.621951219512195,0.368231046931408,0.71690225073346,0.621951219512195,576,124,109700,146452
0.841768717113801,0.271464646464646,0.602240896358543,0.374238468233246,0.70547876189353,0.61624649859944,577,142,115206,152624
0.847747937485475,0.261768082663605,0.688821752265861,0.37936772046589,0.745476423239744,0.688821752265861,643,103,131332,157365
0.847458401170955,0.308767471410419,0.618320610687023,0.411864406779661,0.719515447786248,0.618320610687023,544,150,115356,153676
0.854353380553328,0.283292978208232,0.661016949152542,0.396610169491525,0.736962247012585,0.850282485875706,592,120,105167,139736
0.854117450876852,0.274007682458387,0.627565982404692,0.381461675579323,0.720265758305269,0.627565982404692,567,127,109553,144041
0.85083572439447,0.261415525114155,0.669590643274854,0.376026272577997,0.734074172033372,0.669590643274854,647,113,126409,162467
0.825512642288708,0.265884652981427,0.725333333333333,0.389127324749642,0.748808394911352,0.722666666666667,751,103,143011,185067
0.847752610301453,0.258440046565774,0.632478632478632,0.366942148760331,0.715109699267203,0.632478632478632,637,129,123415,160563
0.855612800270088,0.279811097992916,0.679083094555874,0.396321070234114,0.743833836962155,0.679083094555874,610,112,107915,145717
0.816771119505495,0.24507658643326,0.666666666666667,0.3584,0.726942578764315,0.666666666666667,690,112,127039,165353
0.838763181246002,0.257505773672055,0.640804597701149,0.367380560131796,0.719384421917605,0.732758620689655,643,125,113288,150242
0.83658896544293,0.282085561497326,0.615160349854227,0.386801099908341,0.717695833202611,0.854227405247813,537,132,97972,132079
0.835196673316625,0.255924170616114,0.622478386167147,0.36272040302267,0.709151259378216,0.737752161383285,628,131,105129,137051
0.857152910754325,0.287221570926143,0.671232876712329,0.402298850574713,0.74117227736922,0.832876712328767,608,120,116590,151442
0.828106505865555,0.285053929121726,0.519662921348315,0.368159203980099,0.668492242538568,0.893258426966292,464,171,84544,117644
0.849270078686922,0.288242730720607,0.644067796610169,0.39825327510917,0.729933937512961,0.644067796610169,563,126,115385,148699
0.835965245641412,0.276653171390013,0.557065217391304,0.369702434625789,0.681674877973054,0.834239130434783,536,163,90194,125577
0.855051851458013,0.283236994219653,0.682451253481894,0.400326797385621,0.745828297677867,0.863509749303621,620,114,109100,139405
0.845825257036912,0.269822485207101,0.653295128939828,0.381909547738694,0.727874669015232,0.653295128939828,617,121,113180,143187
0.848691034193508,0.260700389105058,0.632075471698113,0.369146005509642,0.723774738961726,0.886792452830189,570,117,86087,113970
0.853310009293172,0.265232974910394,0.672727272727273,0.380462724935733,0.740496744660344,0.672727272727273,615,108,121018,164324
0.819075180303099,0.274465691788526,0.67590027700831,0.3904,0.738889840861089,0.67590027700831,645,117,158765,198372
0.842394672771001,0.266666666666667,0.653295128939828,0.378737541528239,0.727102564310188,0.653295128939828,627,121,127340,158263
0.850219102779445,0.264672036823936,0.670553935860058,0.37953795379538,0.734899787750607,0.670553935860058,639,113,116552,148928
0.846889041390952,0.274941995359629,0.656509695290859,0.387571545380213,0.72996251347067,0.74792243767313,625,124,107554,147173
0.861868264799259,0.268015170670038,0.656346749226006,0.380610412926391,0.735630900268022,0.823529411764706,579,111,106196,130811
