Classifier,Project,Old,New,ratio
RF,ActiveMQ,0.71,0.72,1%
,Camel,0.73,0.75,3%
,Hadoop C.,0.77,0.77,0%
,Geronimo,0.78,0.79,1%
,HBase,0.75,0.77,3%
,Pig,0.75,0.77,3%
LR,ActiveMQ,0.71,0.71,0%
,Camel,0.74,0.75,1%
,Hadoop C.,0.7,0.7,0%
,Geronimo,0.71,0.72,1%
,HBase,0.72,0.71,-1%
,Pig,0.69,0.71,3%
NB,ActiveMQ,0.69,0.71,3%
,Camel,0.76,0.77,1%
,Hadoop C.,0.64,0.71,11%
,Geronimo,0.75,0.76,1%
,HBase,0.62,0.74,19%
,Pig,0.62,0.66,6%
