"Classifier","Project","Old","New","ratio"
"RF","Derby",0.798990636592987,0.787586270907544,"-1%"
"","OpenJPA",0.757311563825438,0.740524540496838,"-2%"
"LR","Derby",0.767685695114565,0.762676702279061,"-1%"
"","OpenJPA",0.704914758472264,0.70237459627307,"-0%"
"NB","Derby",0.743937871229146,0.738450726019706,"-1%"
"","OpenJPA",0.702257096864224,0.697944293818212,"-1%"
