"Classifier","Project","Old","New","ratio"
"RF","Hadoop C.","0.64","0.65"," 2%"
"","Geronimo","0.63","0.63"," 0%"
"","HBase","0.57","0.62"," 9%"
"","Pig","0.59","0.61"," 3%"
"LR","Hadoop C.","0.60","0.63"," 5%"
"","Geronimo","0.63","0.63"," 0%"
"","HBase","0.57","0.63","11%"
"","Pig","0.56","0.56"," 0%"
"NB","Hadoop C.","0.57","0.64","12%"
"","Geronimo","0.59","0.61"," 3%"
"","HBase","0.57","0.58"," 2%"
"","Pig","0.54","0.60","11%"
