"Classifier","Project","Old","New","ratio"
"RF","Hadoop C.","0.49","0.51"," 4%"
"","Geronimo","0.53","0.52","-2%"
"","HBase","0.52","0.51","-2%"
"","Pig","0.50","0.51"," 2%"
"LR","Hadoop C.","0.50","0.54"," 8%"
"","Geronimo","0.52","0.52"," 0%"
"","HBase","0.53","0.53"," 0%"
"","Pig","0.46","0.49"," 7%"
"NB","Hadoop C.","0.50","0.51"," 2%"
"","Geronimo","0.51","0.53"," 4%"
"","HBase","0.54","0.50","-7%"
"","Pig","0.46","0.49"," 7%"
