"Classifier","Project","Old","New","ratio"
"RF","Hadoop C.","0.21","0.27"," 29%"
"","Geronimo","0.26","0.26","  0%"
"","HBase","0.27","0.24","-11%"
"","Pig","0.28","0.31"," 11%"
"LR","Hadoop C.","0.27","0.31"," 15%"
"","Geronimo","0.27","0.28","  4%"
"","HBase","0.28","0.26"," -7%"
"","Pig","0.29","0.34"," 17%"
"NB","Hadoop C.","0.24","0.30"," 25%"
"","Geronimo","0.31","0.34"," 10%"
"","HBase","0.32","0.27","-16%"
"","Pig","0.29","0.26","-10%"
