"Project","Old","New","ratio"
"Camel",0.335038627296551,0.340539086222605," 2%"
"Derby",0.269490624667008,0.269080514919115,"-0%"
"Geronimo",0.503023556168791,0.501125292252605,"-0%"
"OpenJPA",0.428690976232711,0.429497730660805," 0%"
"Pig",0.361180846806851,0.36903747899232," 2%"
"HBase",0.413660962458551,0.421795647117448," 2%"
