"Classifier","Project","Old","New","ratio"
"RF","Hadoop C.","0.62","0.64"," 3%"
"","Geronimo","0.63","0.63"," 0%"
"","HBase","0.60","0.60"," 0%"
"","Pig","0.59","0.59"," 0%"
"LR","Hadoop C.","0.59","0.62"," 5%"
"","Geronimo","0.62","0.62"," 0%"
"","HBase","0.60","0.61"," 2%"
"","Pig","0.58","0.56","-3%"
"NB","Hadoop C.","0.56","0.59"," 5%"
"","Geronimo","0.59","0.59"," 0%"
"","HBase","0.57","0.57"," 0%"
"","Pig","0.58","0.58"," 0%"
