"Classifier","Project","Old","New","ratio"
"RF","Hadoop C.","0.23","0.30"," 30%"
"","Geronimo","0.27","0.28","  4%"
"","HBase","0.30","0.29"," -3%"
"","Pig","0.37","0.43"," 16%"
"LR","Hadoop C.","0.27","0.33"," 22%"
"","Geronimo","0.28","0.31"," 11%"
"","HBase","0.29","0.30","  3%"
"","Pig","0.38","0.36"," -5%"
"NB","Hadoop C.","0.27","0.31"," 15%"
"","Geronimo","0.32","0.34","  6%"
"","HBase","0.32","0.34","  6%"
"","Pig","0.35","0.31","-11%"
