"Classifier","Project","Old","New","ratio"
"RF","Hadoop C.","0.51","0.52"," 2%"
"","Geronimo","0.51","0.51"," 0%"
"","HBase","0.52","0.53"," 2%"
"","Pig","0.50","0.52"," 4%"
"LR","Hadoop C.","0.50","0.56","12%"
"","Geronimo","0.50","0.53"," 6%"
"","HBase","0.52","0.53"," 2%"
"","Pig","0.49","0.51"," 4%"
"NB","Hadoop C.","0.50","0.51"," 2%"
"","Geronimo","0.50","0.53"," 6%"
"","HBase","0.51","0.51"," 0%"
"","Pig","0.48","0.52"," 8%"
