"Project","Old","New","ratio"
"ActiveMQ",0.594155062463019,0.445576614484436,"-25%"
"Camel",0.491241327203799,0.329865346851813,"-33%"
"Geronimo",0.543732087060183,0.540808191726482," -1%"
"Hadoop C.",0.444017555380242,0.448926757237547,"  1%"
"HBase",0.434969619830576,0.460154763898432,"  6%"
"Pig",0.379115400929485,0.376626851664833," -1%"
