,EXP,REXP,SEXP
4146,511,192.99,166
4147,512,193.99,167
4148,1276,309.506,244
4149,1277,310.053,541
4150,513,193.313,309
4151,225,59.2871,53
4152,1280,311.756,272
4153,328,82.3212,63
4154,331,85.2774,66
4155,334,88.2479,65
4156,336,90.2454,67
4157,338,92.184,69
4158,340,94.1717,71
4159,1281,311.014,798
4160,619,273.793,348
4161,625,279.793,283
4162,630,284.784,102
4163,632,286.784,32
4164,13,9.56948,4
4165,260,135.379,19
4166,261,136.376,20
4167,262,137.22299999999998,21
4168,263,138.216,93
4169,266,141.213,23
4170,267,142.21200000000005,24
4171,268,143.174,52
4172,1286,311.991,266
4173,1287,312.99,219
4174,1288,313.982,220
4175,1289,314.982,273
4176,1290,315.981,246
4177,269,143.987,126
4178,271,145.892,128
4179,14,10.4157,5
4180,1291,312.283,541
4181,367,115.388,24
4182,368,116.099,25
4183,369,117.036,26
4184,669,307.95,160
4185,273,141.44,130
4186,275,143.418,132
4187,277,145.25799999999995,212
4188,280,148.035,78
4189,281,149.025,216
4190,284,152.01,80
4191,285,153.004,220
4192,288,156.0,223
4193,1293,310.361,4
4194,291,158.405,83
4195,64,27.6972,5
4196,671,297.373,162
4197,292,154.014,84
4198,293,155.00799999999995,85
4199,673,293.142,69
4200,675,293.809,186
4201,677,295.802,92
4202,108,49.7005,18
4203,109,50.493,54
4204,678,290.012,93
4205,679,290.93,96
4206,1912,404.026,222
4207,111,51.8373,29
4208,515,171.007,337
4209,295,148.13,82
4210,296,149.129,83
4211,524,179.81900000000005,50
4212,115,55.0851,31
4213,297,149.218,62
4214,370,108.194,234
4215,298,148.64600000000004,84
4216,299,149.645,85
4217,300,150.644,86
4218,301,151.644,87
4219,117,56.0765,58
4220,119,58.0671,60
4221,121,59.9951,62
4222,680,280.29900000000004,97
4223,531,182.931,357
4224,539,190.927,361
4225,546,197.903,368
4226,553,204.894,379
4227,302,149.389,88
4228,1294,290.869,62
4229,1295,291.867,268
4230,124,61.0521,75
4231,127,63.9562,66
4232,129,65.9348,80
4233,132,68.8442,83
4234,135,71.8401,43
4235,136,72.8348,44
4236,137,73.8302,88
4237,303,147.91299999999995,149
4238,305,149.07399999999996,89
4239,306,150.07299999999995,90
4240,307,151.072,91
