,EXP,REXP,SEXP
473,248,195.43099999999998,225
474,251,198.38400000000001,228
475,14,13.417,14
476,15,14.392000000000001,15
477,333,271.969,246
478,254,200.91400000000002,162
479,335,273.947,109
480,194,161.894,190
481,197,164.894,193
482,200,167.891,196
483,16,14.9533,16
484,17,15.9532,17
485,256,198.081,164
486,258,200.032,166
487,260,202.02900000000002,96
488,261,203.028,169
489,263,205.025,98
490,203,166.545,199
491,206,169.53799999999998,202
492,336,267.697,249
493,338,269.694,251
494,209,172.30200000000002,74
495,340,271.638,319
496,343,274.615,255
497,345,276.613,257
498,264,205.21599999999998,172
499,210,172.898,77
500,212,174.89700000000002,79
501,266,207.1,74
502,267,208.1,75
503,268,208.743,76
504,269,209.74200000000002,100
505,270,210.74099999999999,101
506,214,176.495,208
507,271,211.645,102
508,272,212.269,255
509,347,276.793,144
510,348,277.79200000000003,0
511,158,116.208,75
512,276,213.873,104
513,277,214.84900000000002,105
514,217,176.56,133
515,219,178.554,158
516,221,180.553,160
517,223,182.546,162
518,225,184.545,164
519,160,117.671,77
520,162,118.485,128
521,227,184.418,221
522,230,187.417,224
523,233,190.33,227
524,236,193.31799999999998,230
525,165,121.243,131
526,348,270.48900000000003,260
527,2,1.9998099999999999,1
528,3,2.9998,2
529,4,3.9900800000000003,1
530,168,123.977,134
531,350,271.809,116
532,351,272.806,263
533,239,195.392,233
534,242,198.158,236
535,5,4.9742,5
536,171,125.91,101
537,278,210.232,254
538,245,199.705,239
539,248,202.704,242
540,281,212.825,186
541,283,214.821,179
542,285,216.81599999999997,72
543,286,217.342,109
544,287,218.322,110
545,288,219.278,111
546,8,7.849080000000001,5
547,289,219.44299999999998,112
548,251,203.928,4
549,290,220.418,193
550,3,2.99012,2
551,252,204.803,245
552,255,207.80200000000002,248
553,258,210.801,251
554,292,221.02200000000002,268
555,295,224.02200000000002,271
556,5,4.95264,4
557,298,226.424,116
558,18,15.7633,18
559,299,227.308,117
560,19,16.7296,19
561,300,227.94099999999997,201
562,173,125.479,139
563,302,229.921,203
564,353,267.131,265
565,355,269.123,267
566,7,6.909330000000001,7
567,304,231.578,120
568,305,232.53099999999998,121
569,10,9.88822,8
570,306,233.47,122
571,12,11.7958,12
572,15,14.755,12
573,20,17.5148,20
574,261,208.69299999999998,254
575,264,211.679,257
576,307,231.954,283
577,310,234.947,210
578,312,236.915,125
579,17,16.6964,14
580,176,126.666,88
581,178,128.433,131
582,19,18.6091,19
583,181,131.403,91
584,313,236.888,126
585,314,237.885,127
586,22,21.5937,4
587,267,213.239,97
588,268,214.236,98
589,23,22.4849,23
590,183,132.08,55
591,184,133.079,0
592,315,236.47099999999998,291
593,318,239.43,206
594,320,241.43,208
595,22,19.1474,22
596,23,20.1368,23
597,322,242.957,298
598,11,10.2925,7
599,357,263.413,336
600,13,12.2864,10
601,24,21.0987,24
602,25,22.0598,25
603,26,25.0786,20
604,333,252.774,134
605,334,253.77200000000002,308
606,360,265.16900000000004,339
