"buggy_AG_features","buggy_AG_groups","buggy_RA_features","buggy_RA_groups"
"ndev",1,"ndev",1
"lt",2,"lt",2
"nf",3,"nf",3
"ld",4,"la",4
"sexp",5,"sexp",5
"age",5,"ld",6
"ns",5,"exp",7
"la",5,"ns",7
"exp",6,"age",8
