"buggy_AG_features","buggy_AG_groups","buggy_RA_features","buggy_RA_groups"
"nd",1,"nd",1
"nuc",2,"nuc",2
"ns",3,"ns",3
"ld",4,"ld",4
"la",5,"la",5
"entropy",6,"entropy",6
"exp",7,"exp",7
"sexp",8,"sexp",8
"nf",9,"nf",9
"lt",10,"lt",10
"age",11,"age",11
