"buggy_AG_features","buggy_AG_groups","buggy_RA_features","buggy_RA_groups"
"ndev",1,"ndev",1
"nf",2,"lt",2
"la",3,"nf",2
"lt",3,"la",3
"ns",4,"ns",4
"sexp",5,"exp",4
"exp",5,"sexp",5
"ld",6,"ld",6
"age",7,"age",7
