,auc,f1measure,acc
0,0.8165859564164648,0.7721714454626071,0.14285714285714285
1,0.7573099415204678,0.8256387062357211,0.0
2,0.6862745098039216,0.8334487801123681,0.0
3,0.703125,0.7057276532873676,0.3333333333333333
4,0.9365079365079365,0.774646200033197,0.75
5,0.6747549019607842,0.6820415382122773,0.3
6,0.7438016528925621,0.7646656798786617,0.10416666666666667
7,0.6755434782608697,0.697089947089947,0.2692307692307692
8,0.8168244949494948,0.7839158733467676,0.06666666666666667
9,0.7644705882352941,0.7538224075750604,0.17647058823529413
10,0.8921397886915129,0.8580746646282719,0.15151515151515152
11,0.8644059306752153,0.827059178567604,0.06451612903225806
12,0.863265306122449,0.878408721287565,0.25
13,0.8600016711229946,0.8613961868272212,0.15625
14,0.8263092269326684,0.8297931590204828,0.375
15,0.8400774572649573,0.8368332219140727,0.19444444444444445
16,0.8438287153652393,0.8143811369391984,0.2727272727272727
17,0.8499717992103778,0.7823373071845237,0.25925925925925924
18,0.8161182840483132,0.7090066795949149,0.42857142857142855
19,0.7576045627376427,0.7255727236326169,0.25
20,0.6837837837837838,0.7708222703736483,0.0
21,0.7540983606557377,0.8598130841121495,
22,0.6547619047619048,0.7913669064748202,
23,0.875,0.9333333333333333,
24,0.7727272727272727,0.8717948717948718,
25,0.7333333333333333,0.846153846153846,
26,0.7333333333333333,0.846153846153846,
27,0.851063829787234,0.9195402298850576,
28,0.8419744318181819,0.8219461081159296,0.2727272727272727
29,0.8132766387076732,0.6502443220561831,0.06756756756756757
30,0.8308371892446299,0.7183826021089562,0.1262135922330097
31,0.8318155125773752,0.6437703770623376,0.25688073394495414
32,0.7926445356781765,0.6254691754862459,0.2677165354330709
33,0.8174150123540939,0.6826446280991736,0.2517482517482518
34,0.7935039256713954,0.745656098258637,0.25663716814159293
35,0.7317843544479059,0.6419471997215721,0.1574074074074074
36,0.7919846743295019,0.7660929745776244,0.232
37,0.7598915989159892,0.7415492025742658,0.11805555555555555
38,0.7832241858796088,0.7450992297002925,0.1592356687898089
39,0.7700354629953807,0.7467402403184191,0.17032967032967034
40,0.7771367766854317,0.7631296627459073,0.3036649214659686
41,0.7870986008110182,0.717311553493113,0.1827956989247312
42,0.7697377673788245,0.7023897676969956,0.25862068965517243
43,0.7880506155950752,0.7287415780566466,0.22674418604651161
44,0.8272870292101062,0.7333894065583684,0.28205128205128205
45,0.820534033638958,0.7216332106680975,0.20348837209302326
46,0.8347909018930396,0.7564292045110975,0.21212121212121213
47,0.8380038522972846,0.7526471370194707,0.22413793103448276
48,0.8329891710050509,0.7613484161672129,0.2802547770700637
49,0.839533400287723,0.7598522002015452,0.2932330827067669
50,0.8155200655200655,0.7758192322959087,0.2727272727272727
51,0.7810730253353204,0.7781431553666703,0.20454545454545456
52,0.8004966887417219,0.8535033571583279,0.35
53,0.7978947368421053,0.7918827567061186,0.32
54,0.767559141756831,0.7706834388625929,0.14634146341463414
55,0.7804897959183673,0.8047248700377699,0.11428571428571428
56,0.7952917771883289,0.7775619719641624,0.27586206896551724
57,0.818347155536156,0.78224189929751,0.27586206896551724
58,0.8065299514301134,0.7514067355337196,0.17647058823529413
59,0.7930378733285292,0.7120191968802092,0.18840579710144928
60,0.7989478957915832,0.7051706808415209,0.25
61,0.7610895445134576,0.7135266227538332,0.3
62,0.7306414091060153,0.7283499235053494,0.18823529411764706
63,0.8265404441875029,0.7546365687876102,0.20270270270270271
64,0.8034802043422733,0.8094077270200931,0.1724137931034483
65,0.8355479002624672,0.7072507835523278,0.25
66,0.8641304347826086,0.8075932395222145,0.3333333333333333
67,0.8876357906957459,0.7785859751376992,0.25806451612903225
68,0.8606185567010309,0.7755594454143799,0.2
69,0.9283161512027491,0.8114073852145907,0.28
70,0.9363594890510949,0.7985939473828747,0.5625
71,0.8741685144124168,0.7253038256017402,0.5454545454545454
72,0.8216744186046512,0.7610018555140508,0.24
73,0.8971023063276168,0.8462360338580649,0.05263157894736842
74,0.8373590982286634,0.727232104594719,0.34782608695652173
75,0.8841540404040404,0.8029455081001471,0.2222222222222222
76,0.8678385416666666,0.8073779835641661,0.07407407407407407
77,0.7786187322611163,0.8725855041644517,0.2857142857142857
78,0.6650898770104068,0.7026310160427809,0.35714285714285715
79,0.8012899262899263,0.8560416556501704,0.55
80,0.810933660933661,0.8756774422360504,0.35
81,0.8685997910135841,0.864350726540461,0.8181818181818182
