,auc,f1measure,acc
0,0.5972222222222222,0.4892012221737232,0.14285714285714285
1,0.68,0.7568571428571428,0.5
2,0.6306818181818181,0.6080481423338565,0.7272727272727273
3,0.6500829187396352,0.48891966759002764,0.4444444444444444
4,0.6628787878787878,0.6176344086021505,0.5
5,0.40625,0.6753246753246753,0.25
6,0.8541666666666667,0.8893280632411067,0.5
7,0.4308943089430894,0.8056410256410257,0.3333333333333333
8,0.8383838383838385,0.8052631578947369,0.6666666666666666
9,0.697560975609756,0.7506038647342995,0.4
10,0.7652173913043478,0.7185044058109074,0.2
11,0.48292682926829267,0.431935817805383,0.0
12,0.7481481481481481,0.46602819447975813,0.3333333333333333
13,0.728658536585366,0.6435464755347368,0.16666666666666666
14,0.8245931283905967,0.7324092336745699,0.21428571428571427
15,0.494047619047619,0.506789413118527,0.125
16,0.6862648221343873,0.48144399460188936,0.22727272727272727
17,0.6556962025316455,0.574967624967625,0.2
18,0.6064935064935064,0.5085821133517071,0.35
19,0.6751532296086751,0.6011637075896634,0.23809523809523808
20,0.7864214992927864,0.6906702880977786,0.23809523809523808
21,0.6852497096399535,0.780343647051224,0.21428571428571427
22,0.739453125,0.6871307078332362,0.35
23,0.7139726027397261,0.6298212292364338,0.24
24,0.7482064336959038,0.6473564859194486,0.13793103448275862
25,0.7326640926640927,0.5401947644267577,0.08571428571428572
26,0.7442034405385191,0.4156493354604207,0.30952380952380953
27,0.7624365482233502,0.663090476705221,0.2857142857142857
28,0.695499707773232,0.6664730217698924,0.3448275862068966
29,0.7721252257676099,0.6719732145677375,0.13636363636363635
30,0.7930672268907563,0.7465691340560324,0.14285714285714285
31,0.7507215007215007,0.7332615426033116,0.2857142857142857
32,0.7536620590055705,0.6966880985868328,0.10810810810810811
33,0.7964506172839506,0.7385860219252508,0.24444444444444444
34,0.7510775862068966,0.7123598328988283,0.3793103448275862
35,0.7890341040909443,0.6824807692307692,0.08955223880597014
36,0.7762879715144098,0.6448685783445682,0.20930232558139536
37,0.6781696428571429,0.6284683894773375,0.25
38,0.7463646328096455,0.6695826029646738,0.28695652173913044
39,0.7823238973008558,0.7126410610903712,0.20967741935483872
40,0.8139194139194139,0.7218498149931573,0.09401709401709402
41,0.7913945578231293,0.7139829985068435,0.09166666666666666
42,0.6982890125747269,0.6674420675645752,0.09523809523809523
43,0.6897840531561462,0.6567673083417763,0.1511627906976744
44,0.7197220103398593,0.7110564826184103,0.10144927536231885
45,0.7820879120879121,0.7270453008789722,0.04285714285714286
46,0.8180552793795984,0.7725222657036592,0.46808510638297873
47,0.8390911920323686,0.765055748528398,0.48148148148148145
48,0.8602150537634409,0.7638363631552487,0.27419354838709675
49,0.861252446183953,0.7981454619187996,0.0273972602739726
50,0.8725048923679061,0.7930840378055523,0.35714285714285715
51,0.8266613924050633,0.7454938019163709,0.225
