,auc,f1measure,acc
0,0.7166497804795677,0.7276694229947834,0.19047619047619047
1,0.738358501295255,0.7487833496835749,0.1836734693877551
2,0.7335731980653533,0.6240941955866696,0.32653061224489793
3,0.7418977614433678,0.6494485198579754,0.1951219512195122
4,0.739279588336192,0.664274310676409,0.22727272727272727
5,0.7362400375058602,0.6682528287262631,0.13333333333333333
6,0.7034146992130185,0.655354287230457,0.15873015873015872
7,0.7479384786435652,0.7300634161678017,0.20930232558139536
8,0.791249275602285,0.7553311290668628,0.13829787234042554
9,0.811842105263158,0.7760198374578718,0.23157894736842105
10,0.8065318568448083,0.6727384394524537,0.23655913978494625
11,0.763486594163885,0.649045846481366,0.20270270270270271
12,0.780007432181345,0.7693269115949528,0.17307692307692307
13,0.8460236886632825,0.8093944210219342,0.18333333333333332
14,0.8467067279368446,0.796935817805383,0.21739130434782608
15,0.8096054888507719,0.7334355758005813,0.14285714285714285
16,0.8019740009629273,0.7554113435243222,0.23880597014925373
17,0.7934128923134749,0.7680996414942832,0.14705882352941177
18,0.7517632165893061,0.6991502587214051,0.20754716981132076
19,0.7974358974358975,0.7201256198371909,0.2
20,0.7788697788697788,0.7928357137780011,0.09090909090909091
21,0.8055079559363525,0.8403236985557201,0.2631578947368421
22,0.7762711864406779,0.8190449001232255,0.23333333333333334
23,0.7978494623655914,0.836543802148492,0.07407407407407407
24,0.7701694915254237,0.7545297959914101,0.16
25,0.8781109151479523,0.8100511635583431,0.4444444444444444
26,0.775305895439377,0.6752827878933997,0.3225806451612903
27,0.8292116846738695,0.6060141030844156,0.37142857142857144
28,0.7962640340689121,0.6029626101452726,0.027777777777777776
29,0.78952608522501,0.6011455997257417,0.1111111111111111
30,0.810168625447113,0.612189040467729,0.34210526315789475
31,0.8181818181818181,0.5524608916465035,0.18181818181818182
32,0.7799999999999999,0.5753179500237476,0.2647058823529412
33,0.7197566213314245,0.5423163941421653,0.21212121212121213
34,0.744932844932845,0.6146752376124588,0.23333333333333334
35,0.725,0.5667683159552691,0.21052631578947367
36,0.7480223359702187,0.5607727866546076,0.21428571428571427
37,0.6913357400722022,0.7250536250536249,0.25
38,0.7690886699507389,0.6687538018419524,0.2857142857142857
39,0.8225308641975309,0.7028849329734286,0.3333333333333333
40,0.7857142857142857,0.7826451728890753,0.14285714285714285
41,0.7205750224618149,0.7581010609602589,0.42857142857142855
42,0.7391857506361323,0.5104363159189699,0.0
43,0.6904347826086956,0.4673390428968522,0.0
