,auc,f1measure,acc
0,0.8789682539682541,0.790499424626007,0.14285714285714285
1,0.5257142857142857,0.7646198830409358,0.2
2,0.6491477272727273,0.5619361590790162,0.09090909090909091
3,0.6119402985074627,0.6060222672064777,0.1111111111111111
4,0.553030303030303,0.6197571636716853,0.16666666666666666
5,0.575,0.8543263964950711,0.25
6,0.8958333333333334,0.8846846846846846,0.25
7,0.9756097560975611,0.9249417249417249,0.3333333333333333
8,0.9797979797979798,0.9505208333333334,0.3333333333333333
9,0.9170731707317074,0.8888729977116705,0.4
10,0.8565217391304348,0.8964858670741023,0.2
11,0.7341463414634146,0.8306041784302652,0.0
12,0.8111111111111111,0.8100274187230708,0.4444444444444444
13,0.7271341463414634,0.8128626692456481,0.5
14,0.72875226039783,0.6152080475907262,0.35714285714285715
15,0.6532738095238095,0.7669565217391304,0.0
16,0.7040513833992095,0.7558576674243748,0.18181818181818182
17,0.6525316455696203,0.574967624967625,0.25
18,0.687012987012987,0.6546997592877816,0.15
19,0.7197076850542197,0.7308939251974328,0.23809523809523808
20,0.7298444130127298,0.7840384251590666,0.0
21,0.8019744483159117,0.8413575893535948,0.0
22,0.702734375,0.7456558725908572,0.15
23,0.6890410958904108,0.775228669965512,0.16
24,0.6922008794260587,0.7730533394384123,0.20689655172413793
25,0.7311196911196911,0.6332203150384969,0.08571428571428572
26,0.7453253552729993,0.6769399352359812,0.14285714285714285
27,0.6849891225525744,0.5544735135433484,0.8285714285714286
28,0.5881550750048705,0.5024214054553859,0.3448275862068966
29,0.8350391330523781,0.7109731455513401,0.13636363636363635
30,0.7713585434173669,0.8071918853696574,0.14285714285714285
31,0.843073593073593,0.8210395269218798,0.3333333333333333
32,0.7556220342479886,0.7339285714285716,0.16216216216216217
33,0.7689814814814815,0.7479042696434,0.26666666666666666
34,0.7066516457680251,0.6964317733548503,0.1896551724137931
35,0.662748433995824,0.6906303208078356,0.1044776119402985
36,0.6128296428174029,0.701110816385083,0.13953488372093023
37,0.7274107142857144,0.6962203012359753,0.2
38,0.7516258677383997,0.6920368187711707,0.2608695652173913
39,0.7309084924292297,0.6283557669729827,0.10483870967741936
40,0.7922204779347636,0.7159110211521094,0.2564102564102564
41,0.7272448979591837,0.7061798689696248,0.06666666666666667
42,0.7350237064522779,0.7334739803094235,0.17142857142857143
43,0.6678334124347414,0.7213490556870343,0.1744186046511628
44,0.7044664802101874,0.7437855113636364,0.13043478260869565
45,0.7471428571428572,0.7335477941176471,0.15714285714285714
46,0.8170610459335853,0.7784743991640543,0.10638297872340426
47,0.801431683784625,0.7386485947777557,0.2222222222222222
48,0.8190743338008415,0.7410235630429353,0.3225806451612903
49,0.7109589041095891,0.6867512768921219,0.136986301369863
50,0.6912915851272015,0.6924608737056174,0.04285714285714286
51,0.6649525316455696,0.7023809523809523,0.0875
52,0.782687338501292,0.7688216796152424,0.36666666666666664
53,0.7740908329143623,0.7473233737939621,0.0
54,0.7955882352941177,0.7671824771378549,0.058823529411764705
55,0.7690631808278867,0.7538555691554467,0.25925925925925924
56,0.8316763005780348,0.8320505711810059,0.0
57,0.8086059190031153,0.7896242389702054,0.25
58,0.7279106663412253,0.7349023563962854,0.19117647058823528
59,0.7019360269360269,0.7171663326083557,0.011363636363636364
60,0.6862631807020079,0.6864367809152363,0.2782608695652174
61,0.6723189219539585,0.6778225794899031,0.17518248175182483
62,0.6558518972682063,0.6402914451837346,0.15079365079365079
63,0.7165424623505667,0.5479921931691657,0.30973451327433627
64,0.7481207388846803,0.5943613348676638,0.03816793893129771
65,0.7598874534358405,0.7192163773223686,0.25675675675675674
66,0.7333002645502645,0.7179565939857026,0.20714285714285716
67,0.7686714824120603,0.7207638222484685,0.15625
68,0.7335344546147057,0.7033290309766679,0.29842931937172773
69,0.7074994248907291,0.7079320393988364,0.2275132275132275
70,0.73147711184521,0.7421035614400956,0.04294478527607362
71,0.773537326315433,0.715764687100894,0.19254658385093168
72,0.7504111293835283,0.7117315195115386,0.25165562913907286
73,0.7508306822198657,0.7260785685559323,0.3652173913043478
74,0.7593610093610093,0.6381421131539493,0.23148148148148148
75,0.7871794871794872,0.6734284759677344,0.13675213675213677
76,0.7986191024165709,0.7536047946412833,0.10743801652892562
77,0.8128045808966862,0.6761109102434015,0.20175438596491227
78,0.8017718715393134,0.6875542678524098,0.29457364341085274
79,0.8198892213662698,0.7583369028177546,0.24778761061946902
80,0.7706813334829947,0.7111084262701363,0.11016949152542373
81,0.7405671713530401,0.7125306534320962,0.2719298245614035
82,0.7497130559540889,0.6845311382317407,0.13821138211382114
83,0.7706107373697402,0.6749304696311058,0.13533834586466165
84,0.7434139299891735,0.6923076923076922,0.13970588235294118
85,0.7465092277804759,0.6933586984134316,0.25
86,0.7372543224471702,0.698372874053911,0.16831683168316833
87,0.7098538045355129,0.6514213836477988,0.16806722689075632
88,0.7040933204726307,0.6350220877247903,0.11206896551724138
89,0.7603615896298823,0.6634085213032582,0.13821138211382114
90,0.7917523598586721,0.6883284729586427,0.13178294573643412
91,0.7829100320217571,0.6754239138345098,0.10067114093959731
92,0.753493834409865,0.6808743259352542,0.11538461538461539
93,0.7772530499803226,0.6746633221062026,0.10743801652892562
94,0.8138061507325443,0.7550564856403975,0.226890756302521
95,0.8264431646784588,0.7595168988697406,0.23076923076923078
96,0.8085155426765016,0.7292958218077596,0.0273972602739726
97,0.8131693013768485,0.7396087046836437,0.21621621621621623
98,0.8069171932158297,0.7262486408889741,0.11612903225806452
99,0.7959651898734177,0.70126081588043,0.1
100,0.7768424990647214,0.7215719535019887,0.2909090909090909
101,0.7616459627329192,0.61285172356919,0.30952380952380953
102,0.7913448073361341,0.6930143903014279,0.21656050955414013
103,0.7844385499557913,0.6780655958833961,0.1794871794871795
104,0.7847973823307324,0.7234460119231164,0.09655172413793103
105,0.7510606060606061,0.6860052447552448,0.503030303030303
106,0.7334803561218656,0.6576886073191983,0.17532467532467533
107,0.7455792258423838,0.6751743114090311,0.17857142857142858
108,0.749298870613204,0.6494691334292693,0.17721518987341772
109,0.7518158453458488,0.6849857336873055,0.15286624203821655
110,0.7851945586839608,0.7245162171909616,0.11926605504587157
111,0.7933000000000001,0.7368154671525459,0.17
112,0.7951116729877792,0.7155963302752294,0.6548672566371682
113,0.7977740763173834,0.7408739908739908,0.4645669291338583
114,0.8014864540877488,0.7514956072204426,0.10852713178294573
115,0.7636983521389724,0.728713431185282,0.007874015748031496
116,0.8100057836899942,0.7474633493798287,0.17293233082706766
117,0.7157642117894105,0.6921555435000385,0.26548672566371684
118,0.7231785918250795,0.6800692109601182,0.3786407766990291
119,0.7138594164456233,0.6358755233958938,0.1346153846153846
120,0.7195459579180509,0.6521030836383532,0.08035714285714286
121,0.743038401077925,0.663922218592993,0.12295081967213115
122,0.7899404761904762,0.6887109145527578,0.30625
123,0.7877577802774652,0.6974106193699077,0.35714285714285715
124,0.7996267018006148,0.7123608594520898,0.341991341991342
125,0.7743526712553261,0.594113541181945,0.6017699115044248
126,0.7858961690483429,0.4481745959782662,0.7596153846153846
127,0.7873095218898654,0.6626269555441225,0.13924050632911392
128,0.8390243902439024,0.6212669751247285,0.2846153846153846
129,0.8000339789330615,0.5226881359419929,0.3394495412844037
130,0.781415343915344,0.5116739811912225,0.9722222222222222
131,0.7414466594827586,0.5449924427392164,0.896551724137931
132,0.7163170163170164,0.5419693301049232,0.8692307692307693
133,0.6815962805114295,0.5229975605631085,0.8651685393258427
134,0.7173775337837839,0.7005940080988277,0.44594594594594594
135,0.6944444444444445,0.6369243865306858,0.37037037037037035
136,0.7462909718228867,0.7070665365463054,0.16216216216216217
137,0.7793450653120465,0.7952930145335209,0.21153846153846154
138,0.7807186805985364,0.7819005243921818,0.09917355371900827
139,0.7844132514517275,0.7816762787404431,0.10759493670886076
