,auc,f1measure,acc
0,0.8365648592999313,0.7627826353122795,0.11170212765957446
1,0.7931796841655997,0.7058101119812924,0.23943661971830985
2,0.8340580157065911,0.7585987121055171,0.2727272727272727
3,0.865215232098349,0.8022715905706078,0.23469387755102042
4,0.9056122448979591,0.8321352190862541,0.1978021978021978
5,0.9083551718822259,0.8436739473219129,0.28205128205128205
6,0.8652176889375685,0.8128766094644766,0.175
7,0.8128464443448761,0.7990752271037019,0.23529411764705882
8,0.8743653357950611,0.7939519266285769,0.20238095238095238
9,0.9061259483710333,0.8687783906852784,0.2463768115942029
10,0.9012030819559229,0.8108028390701965,0.30303030303030304
11,0.9005215057846636,0.8469118763878122,0.17543859649122806
12,0.9184846947404025,0.8720642578843643,0.2777777777777778
13,0.9013151014432128,0.8530523420050746,0.30357142857142855
14,0.8857612714265137,0.8196906567682537,0.22033898305084745
15,0.8632506902899217,0.8377749343544818,0.16981132075471697
16,0.861926175754169,0.7795608792386746,0.2
17,0.8431142568250759,0.8423279865826493,0.20930232558139536
18,0.8406399880095924,0.7827755755196352,0.16666666666666666
19,0.8616130246565029,0.7871049649843692,0.2727272727272727
20,0.8917343526039179,0.785654856477715,0.2391304347826087
21,0.8858933161953728,0.8504371445547915,0.225
22,0.8717076058005327,0.7686311071879239,0.2903225806451613
23,0.8788343558282209,0.802483184385167,0.17857142857142858
24,0.879225352112676,0.8056908234484577,0.1875
25,0.821353834955873,0.8129139177923963,0.20689655172413793
26,0.8423811431623932,0.7556114890400604,0.3125
27,0.8235566532880518,0.7524772545817088,0.0975609756097561
28,0.8227485435966001,0.7568125383814381,0.40540540540540543
29,0.8606884135625188,0.7979039714446762,0.1951219512195122
30,0.8711393596986816,0.7871484498726876,0.22033898305084745
31,0.8722393992932862,0.7966822557184003,0.21875
32,0.8467620481927711,0.7509530234272949,0.2
33,0.8731281736149293,0.803180681176324,0.16326530612244897
34,0.8462264966234152,0.7620207637005876,0.17757009345794392
35,0.8774983642581139,0.8396990243369391,0.21505376344086022
36,0.8704566573742201,0.8233540201187362,0.1827956989247312
37,0.8775986694812256,0.8183127543922853,0.18518518518518517
38,0.8421239004025645,0.7681951919590628,0.2236842105263158
39,0.868832276938079,0.7581938151397324,0.3
40,0.8295898161244696,0.6892651782132928,0.18571428571428572
41,0.8154809907834102,0.6782268966299039,0.11428571428571428
42,0.843359643102265,0.6885524893676113,0.1935483870967742
43,0.8595650744446011,0.7497640350877192,0.2553191489361702
44,0.8416193181818181,0.7162531352055606,0.225
45,0.7985844017094017,0.6837998211886035,0.2
46,0.7872954052455138,0.6967840310880937,0.22727272727272727
47,0.7537963280713795,0.684944501370061,0.2553191489361702
48,0.7717825137435047,0.738773457490342,0.20408163265306123
49,0.805082952429321,0.7216693793970471,0.1590909090909091
50,0.8064227595360378,0.7073846131770397,0.2903225806451613
51,0.7981818181818182,0.8226564421326897,0.2
52,0.7689393939393939,0.7947020141873349,0.25
53,0.7894177645558861,0.8824184658030811,0.3076923076923077
54,0.8480645161290322,0.8187248851894374,0.2
55,0.7884057971014493,0.8176239284731239,0.1111111111111111
56,0.7650753768844221,0.8147836015658981,0.2
57,0.8212389380530973,0.8083079175426952,0.3333333333333333
58,0.9068627450980392,0.7735974461642763,0.6666666666666666
59,0.8551136363636364,0.7533482569476977,0.09090909090909091
60,0.875,0.8324513777432587,0.4166666666666667
61,0.8560185185185185,0.6801133881308232,0.1
62,0.8221925133689839,0.8518251455204774,0.25
63,0.8452380952380952,0.8546326398675391,0.0
64,0.9473684210526316,0.8334422183507549,0.0
65,0.6470588235294118,0.7857142857142858,
66,0.7777777777777778,0.8750000000000001,
67,0.926829268292683,0.9196042053184912,0.0
68,0.9545454545454545,0.8994351839096293,0.0
69,0.6511627906976745,0.8519813519813518,1.0
70,0.972972972972973,0.7967245657568238,0.0
71,0.8783783783783784,0.8337121212121211,0.0
