"auc","precision","recall","f1measure","gmean","recall20","MCC","fp","fn","waste_effort","all_effort"
0.769591841940933,0.536231884057971,0.279596977329975,0.367549668874172,0.517472529171168,0.790931989924433,0.315722880836609,96,286,20285,45685
0.786927164095421,0.596590909090909,0.265151515151515,0.367132867132867,0.50693954281646,0.79040404040404,0.335886023415456,71,291,15926,43277
0.800399048836593,0.590163934426229,0.267990074441687,0.368600682593857,0.509174685178648,0.784119106699752,0.333757833932966,75,295,11627,36943
0.776897958670727,0.6,0.210280373831776,0.311418685121107,0.45235510597807,0.787383177570093,0.292107910530273,60,338,16703,37565
0.778503153613731,0.577922077922078,0.230569948186528,0.32962962962963,0.473205883071174,0.746113989637306,0.304138709549609,65,297,19980,54626
0.791799528396683,0.630872483221476,0.232673267326733,0.33996383363472,0.47634130539389,0.809405940594059,0.324143609650363,55,310,15925,33034
0.795121267103176,0.626506024096386,0.254901960784314,0.362369337979094,0.49783247874292,0.776960784313726,0.338339612582947,62,304,11640,45542
0.773848205088601,0.567901234567901,0.240208877284595,0.337614678899083,0.482591952247236,0.780678851174935,0.308060164104641,70,291,18318,44820
0.776500770308356,0.557788944723618,0.279596977329975,0.37248322147651,0.518423329291551,0.773299748110831,0.326256317583631,88,286,27606,48804
0.79787442104421,0.648148148148148,0.266497461928934,0.377697841726619,0.509751599698992,0.776649746192893,0.358900972494052,57,289,10891,44243
0.787316489743958,0.584699453551913,0.248259860788863,0.348534201954397,0.489807410212032,0.774941995359629,0.312677830419404,76,324,17915,47052
0.792167157728455,0.587912087912088,0.266832917705736,0.367066895368782,0.507868658140143,0.793017456359102,0.330811821894952,75,294,21219,38802
0.794203054942565,0.585987261146497,0.221686746987952,0.321678321678322,0.463932868940176,0.780722891566265,0.296440967727983,65,323,24358,44833
0.794640558550456,0.616216216216216,0.28428927680798,0.389078498293515,0.524734402974639,0.807980049875312,0.355607882138791,71,287,14591,46069
0.807113969021821,0.613496932515337,0.241545893719807,0.346620450606586,0.484420592654807,0.756038647342995,0.321767613838702,63,314,35582,57873
0.797973127076206,0.574712643678161,0.222222222222222,0.32051282051282,0.463556068098681,0.784444444444444,0.287101164018841,74,350,20422,43255
0.791627915521355,0.571428571428571,0.29242819843342,0.386873920552677,0.530684559219188,0.744125326370757,0.343307099544023,84,271,18622,57374
0.780762744711378,0.5875,0.236180904522613,0.336917562724014,0.478695945860034,0.741206030150754,0.309365133344048,66,304,20009,48176
0.787765435097093,0.601092896174863,0.265060240963855,0.367892976588629,0.506538350883222,0.790361445783132,0.33439630932087,73,305,11662,33574
0.787291259446663,0.521739130434783,0.244274809160305,0.332755632582322,0.484562639318106,0.745547073791349,0.287373817648539,88,297,22881,52138
0.785773535364245,0.568421052631579,0.252927400468384,0.350081037277147,0.493681958254792,0.789227166276347,0.308772853649434,82,319,20975,44116
